row_id,country,is_urban,age,Gender,married,education_level,literacy,employed_last_year,employment_category_last_year,employment_type_last_year,share_hh_income_provided,num_times_borrowed_last_year,borrowing_recency,formal_savings,informal_savings,has_insurance,has_investment,borrowed_for_emergency_last_year,borrowed_for_daily_expenses_last_year,phone_technology,phone_ownership,reg_bank_acct,active_bank_user,num_formal_institutions_last_year,num_informal_institutions_last_year,num_financial_activities_last_year,Poverty
1,A,FALSE,61,male,TRUE,0,FALSE,FALSE,housewife_or_student,not_working,1,1,2,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,0,1,FALSE,FALSE,0,0,0,0
2,C,FALSE,31,female,TRUE,1,TRUE,TRUE,employed,salaried,3,0,1,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,3,2,TRUE,FALSE,0,0,1,1
3,G,TRUE,50,male,FALSE,2,TRUE,TRUE,employed,self_employed,3,1,2,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,3,2,TRUE,TRUE,3,1,8,1
4,D,FALSE,44,female,FALSE,1,TRUE,FALSE,housewife_or_student,not_working,5,3,2,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,2,2,FALSE,FALSE,1,0,1,1
5,F,FALSE,37,female,FALSE,2,TRUE,TRUE,employed,salaried,5,1,2,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,2,2,TRUE,TRUE,1,2,6,1
6,C,FALSE,17,female,FALSE,2,TRUE,FALSE,housewife_or_student,not_working,1,1,2,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,1,2,FALSE,FALSE,0,0,0,1
7,A,FALSE,50,female,TRUE,1,FALSE,TRUE,employed,self_employed,5,2,2,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,0,0,FALSE,FALSE,0,0,0,0
8,D,FALSE,58,male,FALSE,0,FALSE,FALSE,retired_or_disabled,not_working,2,1,2,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,0,0,FALSE,FALSE,0,0,0,0
9,F,TRUE,32,female,TRUE,2,TRUE,TRUE,employed,self_employed,5,0,0,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,3,2,TRUE,FALSE,0,0,0,1
10,A,FALSE,41,male,TRUE,3,TRUE,TRUE,employed,self_employed,5,0,0,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,3,2,TRUE,TRUE,2,0,2,1
